term,estimate,std_error,p_value,outcome,spec
grows_kharif_cereal,-0.6432595783,0.666787327,0.3424003945,Sepsis (v40),m2
yi_rabi_cash_0,-0.02480849298,0.01702662633,0.1554934376,Sepsis (v40),m2
grows_rabi_cash,0.5010143971,0.6080995497,0.4164975952,Sepsis (v40),m2
yi_rabi_cereal_0,-0.1726791266,0.2569124175,0.5066433543,Sepsis (v40),m2
grows_rabi_cereal,-1.328193521,1.809540463,0.4686499798,Sepsis (v40),m2
v12,0.01266111006,0.01309334207,0.341281185,Pneumonia (v43),m2
v15,-0.04503873744,0.02600564186,0.09356672345,Pneumonia (v43),m2
v25,-0.6183356174,0.3975705988,0.1303657847,Pneumonia (v43),m2
v28,-0.1041100275,0.03656262264,0.007880030468,Pneumonia (v43),m2
female_pct,0.3193132739,0.2658939063,0.2391843702,Pneumonia (v43),m2
log_gdp_pc,-1.780240853,1.38596684,0.2088060697,Pneumonia (v43),m2
beds_per_lakh,0.02263465441,0.007016271467,0.00302822937,Pneumonia (v43),m2
log_tap,-0.06932542598,0.2441101217,0.7783671036,Pneumonia (v43),m2
child_marriage_per_mn,-1.306721366,1.115499702,0.2506491206,Pneumonia (v43),m2
yi_kharif_cash_0,-0.009215112447,0.02097507169,0.6635662384,Pneumonia (v43),m2
grows_kharif_cash,0.2628777561,0.638523184,0.6834885938,Pneumonia (v43),m2
yi_kharif_cereal_0,0.4545680205,0.3400705689,0.1913741401,Pneumonia (v43),m2
grows_kharif_cereal,-0.6664234939,1.226077272,0.5907738242,Pneumonia (v43),m2
yi_rabi_cash_0,0.006431611898,0.01610868193,0.6925271005,Pneumonia (v43),m2
grows_rabi_cash,0.02729065159,0.7859306667,0.9725298454,Pneumonia (v43),m2
yi_rabi_cereal_0,-0.1894806081,0.3348072401,0.5756441737,Pneumonia (v43),m2
grows_rabi_cereal,-1.741041091,1.631494361,0.2944191214,Pneumonia (v43),m2
v12,0.004982052295,0.008031585999,0.5397393515,Diarrhoea (v44),m2
v15,-0.02332599205,0.0195277809,0.241640251,Diarrhoea (v44),m2
v25,0.1314916791,0.1833016449,0.4787060885,Diarrhoea (v44),m2
v28,-0.05458139464,0.02641217993,0.04750531714,Diarrhoea (v44),m2
female_pct,0.3238053535,0.2095715944,0.132811118,Diarrhoea (v44),m2
log_gdp_pc,-1.127686784,1.023927716,0.2795092992,Diarrhoea (v44),m2
beds_per_lakh,0.00139515362,0.002373925638,0.5611324353,Diarrhoea (v44),m2
log_tap,-0.2647348177,0.2066976137,0.2100833364,Diarrhoea (v44),m2
child_marriage_per_mn,-0.5997179293,0.5046576116,0.2440119796,Diarrhoea (v44),m2
yi_kharif_cash_0,0.002882800461,0.02042394906,0.8886965344,Diarrhoea (v44),m2
grows_kharif_cash,-0.6555844339,0.2702939071,0.02151742219,Diarrhoea (v44),m2
yi_kharif_cereal_0,0.1150185798,0.1516482972,0.4540956975,Diarrhoea (v44),m2
grows_kharif_cereal,-1.642370832,1.422805874,0.2574825039,Diarrhoea (v44),m2
yi_rabi_cash_0,-0.01969463251,0.01327448046,0.1483339183,Diarrhoea (v44),m2
grows_rabi_cash,0.3126860313,0.4164819526,0.4586343215,Diarrhoea (v44),m2
yi_rabi_cereal_0,0.09096744624,0.145803727,0.5374066494,Diarrhoea (v44),m2
grows_rabi_cereal,-1.13727334,1.043217442,0.2843222079,Diarrhoea (v44),m2
v12,0.007426101301,0.008309814241,0.3786202814,Fever (v45),m2
v15,-0.08445423544,0.02274136607,0.0008332529243,Fever (v45),m2
v25,-0.04852883229,0.7349550541,0.9477922854,Fever (v45),m2
v28,-0.04811290276,0.01829043322,0.01332697178,Fever (v45),m2
female_pct,-0.1097205923,0.2168013175,0.6164937107,Fever (v45),m2
log_gdp_pc,-4.528209739,0.8927971374,1.901387923e-05,Fever (v45),m2
beds_per_lakh,0.01709733312,0.004852448121,0.001387597486,Fever (v45),m2
log_tap,0.3189868083,0.2278372388,0.1717514019,Fever (v45),m2
child_marriage_per_mn,-1.577476567,0.8320630995,0.06764764687,Fever (v45),m2
yi_kharif_cash_0,0.03224031307,0.01964034131,0.1111300811,Fever (v45),m2
grows_kharif_cash,-1.559249281,0.7461587961,0.04522441806,Fever (v45),m2
yi_kharif_cereal_0,0.05577729388,0.1574812677,0.7256786578,Fever (v45),m2
grows_kharif_cereal,0.1959900898,0.4849213375,0.6889555344,Fever (v45),m2
yi_rabi_cash_0,-0.01992678777,0.01058705808,0.06954350782,Fever (v45),m2
grows_rabi_cash,1.312198504,0.6874623421,0.06590135669,Fever (v45),m2
yi_rabi_cereal_0,0.1274827497,0.1530953257,0.4115932315,Fever (v45),m2
grows_rabi_cereal,0.7226353928,1.150784539,0.5347879313,Fever (v45),m2
v12,-0.001933367388,0.003026642582,0.5278114178,Measles (v46),m2
v15,-0.01223159508,0.01095177425,0.2729197428,Measles (v46),m2
v25,0.1655826302,0.1618432111,0.314437828,Measles (v46),m2
v28,0.007613334297,0.008759589197,0.3916696917,Measles (v46),m2
female_pct,0.06831452008,0.04286615032,0.1214928081,Measles (v46),m2
log_gdp_pc,-0.3214113001,0.2297431871,0.1720666441,Measles (v46),m2
beds_per_lakh,0.0004846436196,0.0005686094734,0.4007836941,Measles (v46),m2
log_tap,0.03818121399,0.03207044087,0.243168975,Measles (v46),m2
child_marriage_per_mn,-0.1632791741,0.1222709407,0.1917938049,Measles (v46),m2
yi_kharif_cash_0,0.005174741985,0.004160818053,0.2232469557,Measles (v46),m2
grows_kharif_cash,0.1649720272,0.1138083627,0.1575555556,Measles (v46),m2
yi_kharif_cereal_0,-0.0128322506,0.02658158162,0.6327776189,Measles (v46),m2
grows_kharif_cereal,0.03676302862,0.07088593653,0.6078287637,Measles (v46),m2
yi_rabi_cash_0,-0.0002776235,0.003716591262,0.940950548,Measles (v46),m2
grows_rabi_cash,-0.05438856018,0.1150297286,0.6397623592,Measles (v46),m2
yi_rabi_cereal_0,0.02076721908,0.03945154094,0.6024820724,Measles (v46),m2
grows_rabi_cereal,0.03775201382,0.1356528371,0.7826922601,Measles (v46),m2
