term,estimate,std_error,p_value,outcome,spec
v12,0.008993843913,0.01386359517,0.5214431359,LBW deaths (% of infant deaths) (v42),m2
v15,0.05083636583,0.02638534856,0.06353788554,LBW deaths (% of infant deaths) (v42),m2
v25,-0.2817899542,0.418427841,0.5058170846,LBW deaths (% of infant deaths) (v42),m2
v28,0.03249038338,0.0481866769,0.5053084355,LBW deaths (% of infant deaths) (v42),m2
female_pct,-0.02989634082,0.2879130026,0.9179889098,LBW deaths (% of infant deaths) (v42),m2
log_gdp_pc,5.382630489,2.751241206,0.0597792306,LBW deaths (% of infant deaths) (v42),m2
beds_per_lakh,-0.0148382121,0.01173972093,0.2159874306,LBW deaths (% of infant deaths) (v42),m2
log_tap,0.2427229978,0.2833643093,0.3984700885,LBW deaths (% of infant deaths) (v42),m2
child_marriage_per_mn,0.5541940913,1.547131448,0.722696354,LBW deaths (% of infant deaths) (v42),m2
yi_kharif_cash_0,0.0312334229,0.03700295677,0.4053059821,LBW deaths (% of infant deaths) (v42),m2
grows_kharif_cash,1.529035785,0.8259747447,0.07400969605,LBW deaths (% of infant deaths) (v42),m2
yi_kharif_cereal_0,0.1379838588,0.4182318682,0.7437517417,LBW deaths (% of infant deaths) (v42),m2
grows_kharif_cereal,1.518574084,1.527716538,0.3281656307,LBW deaths (% of infant deaths) (v42),m2
yi_rabi_cash_0,0.06081705388,0.02429552587,0.01798049459,LBW deaths (% of infant deaths) (v42),m2
grows_rabi_cash,0.298892042,0.9372004049,0.7519970924,LBW deaths (% of infant deaths) (v42),m2
yi_rabi_cereal_0,-1.617376018,0.3123382638,1.408045626e-05,LBW deaths (% of infant deaths) (v42),m2
grows_rabi_cereal,7.668172818,2.07708295,0.0008839340846,LBW deaths (% of infant deaths) (v42),m2
v12,-0.04731160366,0.0114797958,0.0002733208227,Sepsis (v40),m2
v15,0.02482825974,0.01599948987,0.1311931457,Sepsis (v40),m2
v25,-0.8282223334,0.5572093901,0.1476146807,Sepsis (v40),m2
v28,0.04329171239,0.02522133893,0.09638605977,Sepsis (v40),m2
female_pct,0.4506124372,0.1265214962,0.001253628308,Sepsis (v40),m2
log_gdp_pc,-3.126543569,1.310300287,0.02353836447,Sepsis (v40),m2
beds_per_lakh,0.006418520065,0.007578968195,0.4037643268,Sepsis (v40),m2
log_tap,-0.08564444915,0.1751734229,0.6284591146,Sepsis (v40),m2
child_marriage_per_mn,2.956661534,1.340447041,0.03520477343,Sepsis (v40),m2
yi_kharif_cash_0,0.004151056122,0.03619136776,0.9094492041,Sepsis (v40),m2
grows_kharif_cash,-0.815102306,0.5545656904,0.1520254701,Sepsis (v40),m2
yi_kharif_cereal_0,0.3754943083,0.2857110005,0.1987241917,Sepsis (v40),m2
