term,estimate,std_error,p_value,model,label
v12,0.0192207437042056,0.0239599803959862,0.428353738559165,M3 district+year FE,v12 discharged <48h (%)
v15,-0.0628908771606582,0.0635796187024589,0.330002232571839,M3 district+year FE,v15 institutional deliveries (%)
v25,0.841686956511763,0.608796948465187,0.176379037660134,M3 district+year FE,v25 live births (%)
v28,0.051813742257788,0.0616879046208453,0.407177499078028,M3 district+year FE,v28 newborns <2.5 kg (%)
female_pct,-0.233988389163105,0.377167721864723,0.539399234095444,M3 district+year FE,Female share of births (%)
log_gdp_pc,-1.47289378115122,6.79241953265513,0.829706682616011,M3 district+year FE,log state GDP per capita
child_marriage_per_mn,2.05877262176076,1.14998749385051,0.08287904468699,M3 district+year FE,Child-marriage cases per mn
yidev_kharif_all,0.435232131705699,0.863555873880519,0.617713946008775,M3 district+year FE,Kharif yield shock (log dev.)
yidev_rabi_all,-0.566625683024046,0.490993242933343,0.257030324342109,M3 district+year FE,Rabi yield shock (log dev.)
rain_jjas_anom,0.17454564994654,0.333986673313603,0.604843597483381,M3 district+year FE,Monsoon rainfall anomaly (z)
v12,0.00971351786602604,0.0134269608815944,0.475016725013608,M4 M2 + Census/NFHS,v12 discharged <48h (%)
v15,0.0345283238270096,0.0286952301032321,0.238278888772235,M4 M2 + Census/NFHS,v15 institutional deliveries (%)
v25,-0.592668203744963,0.358226663461601,0.108462963310994,M4 M2 + Census/NFHS,v25 live births (%)
v28,-0.00533088360773101,0.032336555718015,0.870162946687934,M4 M2 + Census/NFHS,v28 newborns <2.5 kg (%)
female_pct,-0.160928480848009,0.319336626747676,0.617980186330621,M4 M2 + Census/NFHS,Female share of births (%)
log_gdp_pc,5.80071635279011,2.05356605026162,0.00833316268822131,M4 M2 + Census/NFHS,log state GDP per capita
beds_per_lakh,-0.00937495935638136,0.00882227820626891,0.296422071024936,M4 M2 + Census/NFHS,State beds per 100k
log_tap,0.0583504044065629,0.277406082981123,0.83482216299809,M4 M2 + Census/NFHS,log tap-water HH (%)
child_marriage_per_mn,0.793640670084263,1.31500433051048,0.550694557487271,M4 M2 + Census/NFHS,Child-marriage cases per mn
yi_kharif_cash_0,0.0345109522373157,0.0221514912410739,0.129732764272903,M4 M2 + Census/NFHS,Kharif cash-crop yield index
grows_kharif_cash,0.761922106392805,0.62985229339647,0.235846728201074,M4 M2 + Census/NFHS,Grows kharif cash crops (1/0)
yi_kharif_cereal_0,-0.111328562113767,0.33843311536808,0.744476734757083,M4 M2 + Census/NFHS,Kharif cereal yield index
grows_kharif_cereal,0.223175194032674,1.08083371576167,0.837807637790782,M4 M2 + Census/NFHS,Grows kharif cereals (1/0)
yi_rabi_cash_0,0.0565063434681692,0.0203133978048515,0.009257099685156,M4 M2 + Census/NFHS,Rabi cash-crop yield index
grows_rabi_cash,0.0714667487726277,0.705220895082675,0.919955229834349,M4 M2 + Census/NFHS,Grows rabi cash crops (1/0)
yi_rabi_cereal_0,-1.08638145077293,0.221196813836063,2.99179732142539e-05,M4 M2 + Census/NFHS,Rabi cereal yield index
grows_rabi_cereal,5.28017206152882,2.03686546575628,0.0145905591349466,M4 M2 + Census/NFHS,Grows rabi cereals (1/0)
lit_rate,0.0723829091820489,0.0461803297076598,0.127510669415851,M4 M2 + Census/NFHS,Literacy rate 2011 (%)
urban_share,0.00999556861788952,0.0270211623396977,0.714043542190983,M4 M2 + Census/NFHS,Urban share 2011 (%)
sc_st_share,-0.0436590740631554,0.0214957668729476,0.0511925033799258,M4 M2 + Census/NFHS,SC+ST share 2011 (%)
agri_worker_share,0.0529473833805957,0.0335506124940838,0.125022424057044,M4 M2 + Census/NFHS,Agricultural workers 2011 (%)
nfhs_women_anaemic,0.00232033860000136,0.025279801371303,0.927478027462437,M4 M2 + Census/NFHS,NFHS-4 women anaemic (%)
nfhs_married_before18,0.0234335796491206,0.0377422372397101,0.539364475829601,M4 M2 + Census/NFHS,NFHS-4 married <18 (%)
nfhs_anc4_visits,0.0932475792713108,0.0164612995860815,3.57143692649598e-06,M4 M2 + Census/NFHS,NFHS-4 4+ ANC visits (%)
nfhs_women_bmi_low,0.252000957384703,0.0618208288015557,0.000309475319220245,M4 M2 + Census/NFHS,NFHS-4 women BMI<18.5 (%)
v12,0.00551804034040483,0.0250375503330595,0.826967047471391,M5 lags,v12 discharged <48h (%)
v15,0.00814193207964648,0.0620054956789647,0.896352299276577,M5 lags,v15 institutional deliveries (%)
v25,1.07722187166227,0.847988711614142,0.213127626064544,M5 lags,v25 live births (%)
v28,0.024861369947729,0.0633469740879436,0.697317870150551,M5 lags,v28 newborns <2.5 kg (%)
female_pct,-0.61983570038626,0.414992175222123,0.145073756326068,M5 lags,Female share of births (%)
log_gdp_pc,-1.69248991898855,9.61971829207541,0.86145004031501,M5 lags,log state GDP per capita
child_marriage_per_mn,2.31419637658026,1.06105117622106,0.03664206558005,M5 lags,Child-marriage cases per mn
yidev_kharif_all,0.286572937687009,0.978188776720249,0.771441999642007,M5 lags,Kharif yield shock (log dev.)
yidev_kharif_all_lag1,1.1279078445862,0.747523662923819,0.141145962547726,M5 lags,"Kharif yield shock, t-1"
yidev_rabi_all,-0.405287280065799,0.608142808306681,0.50991009929157,M5 lags,Rabi yield shock (log dev.)
yidev_rabi_all_lag1,-1.10248447107036,0.794086799677162,0.174615001299612,M5 lags,"Rabi yield shock, t-1"
rain_jjas_anom,0.2616785813551,0.379564039912021,0.495529006671857,M5 lags,Monsoon rainfall anomaly (z)
rain_jjas_anom_lag1,0.649412826735165,0.30390465343551,0.0403498106766914,M5 lags,"Monsoon anomaly, t-1 (z)"
